1.0.0	ACT I
1.2.46	There's neither honesty, manhood, nor good fellowship in thee, nor thou camest not of the blood royal, if thou darest not stand for ten shillings.
1.2.47	Well then, once in my days I'll be a madcap.
1.2.48	Why, that's well said.
1.2.49	Well, come what will, I'll tarry at home.
1.2.50	By the Lord, I'll be a traitor then, when thou art king.
1.2.51	I care not.
1.2.52	Sir John, I prithee, leave the prince and me alone: I will lay him down such reasons for this adventure that he shall go.
1.2.53	Well, God give thee the spirit of persuasion and him the ears of profiting, that what thou speakest may move and what he hears may be believed, that the true prince may, for recreation sake, prove a false thief; for the poor abuses of the time want countenance. Farewell: you shall find me in Eastcheap.
1.2.54	Farewell, thou latter spring! farewell, All-hallown summer! [Ex]it Falstaff.
1.2.55	Now, my good sweet honey lord, ride with us to-morrow: I have a jest to execute that I cannot manage alone. Falstaff, Bardolph, Peto and Gadshill shall rob those men that we have already waylaid; yourself and I will not be there; and when they have the booty, if you and I do not rob them, cut this head off from my shoulders.
1.2.56	How shall we part with them in setting forth?
1.2.57	Why, we will set forth before or after them, and appoint them a place of meeting, wherein it is at our pleasure to fail, and then will they adventure upon the exploit themselves; which they shall have no sooner achieved, but we'll set upon them.
1.2.58	Yea, but 'tis like that they will know us by our horses, by our habits and by every other appointment, to be ourselves.
1.2.59	Tut! our horses they shall not see: I'll tie them in the wood; our vizards we will change after we leave them: and, sirrah, I have cases of buckram for the nonce, to immask our noted outward garments.
1.2.60	Yea, but I doubt they will be too hard for us.
1.2.61	Well, for two of them, I know them to be as true-bred cowards as ever turned back; and for the third, if he fight longer than he sees reason, I'll forswear arms. The virtue of this jest will be, the incomprehensible lies that this same fat rogue will tell us when we meet at supper: how thirty, at least, he fought with; what wards, what blows, what extremities he endured; and in the reproof of this lies the jest.
1.2.62	Well, I'll go with thee: provide us all things necessary and meet me to-morrow night in Eastcheap; there I'll sup. Farewell.
1.2.63	Farewell, my lord. [Ex]it.
1.2.64	I know you all, and will awhile uphold The unyoked humour of your idleness: Yet herein will I imitate the sun, Who doth permit the base contagious clouds To smother up his beauty from the world, That, when he please again to be himself, Being wanted, he may be more wonder'd at, By breaking through the foul and ugly mists Of vapours that did seem to strangle him. If all the year were playing holidays, To sport would be as tedious as to work; But when they seldom come, they wish'd for come, And nothing pleaseth but rare accidents. So, when this loose behaviour I throw off And pay the debt I never promised, By how much better than my word I am, By so much shall I falsify men's hopes; And like bright metal on a sullen ground, My reformation, glittering o'er my fault, Shall show more goodly and attract more eyes Than that which hath no foil to set it off. I'll so offend, to make offence a skill; Redeeming time when men think least I will. [Ex]it.
1.3.1	London. The palace.
1.3.2	Enter the KING, NORTHUMBERLAND, WORCESTER, HOTSPUR, SIR WALTER BLUNT, with others.
1.3.3	My blood hath been too cold and temperate, Unapt to stir at these indignities, And you have found me; for accordingly You tread upon my patience: but be sure I will from henceforth rather be myself, Mighty and to be fear'd, than my condition; Which hath been smooth as oil, soft as young down, And therefore lost that title of respect Which the proud soul ne'er pays but to the proud.
1.3.4	Our house, my sovereign liege, little deserves The scourge of greatness to be used on it; And that same greatness too which our own hands Have holp to make so portly.
1.3.5	My lord,—
1.3.6	Worcester, get thee gone; for I do see Danger and disobedience in thine eye: O, sir, your presence is too bold and peremptory, And majesty might never yet endure The moody frontier of a servant brow. You have good leave to leave us: when we need Your use and counsel, we shall send for you. [Ex]it Wor. You were about to speak. [To North.
1.3.7	Yea, my good lord. Those prisoners in your highness' name demanded, Which Harry Percy here at Holmedon took, Where, as he says, not with such strength denied As is deliver'd to your majesty: Either envy, therefore, or misprision Is guilty of this fault and not my son.
1.3.8	My liege, I did deny no prisoners. But I remember, when the fight was done, When I was dry with rage and extreme toil, Breathless and faint, leaning upon my sword, Came there a certain lord, neat, and trimly dress'd, Fresh as a bridegroom; and his chin new reap'd Show'd like a stubble-land at harvest-home; He was perfumed like a milliner; And 'twixt his finger and his thumb he held A pouncet-box, which ever and anon He gave hos nose and took 't away again; Who therewith angry, when it next came there, Took it in snuff; and still he smiled and talk'd, And as the soldiers bore dead bodies by, He call'd them untaught knaves, unmannerly, To bring a slovenly unhandsome corse Betwixt the wind and his nobility, With many holiday and lady terms He question'd me; amongst the rest, demanded My prisoners in your majesty's behalf. I then, all smarting with my wounds being cold, To be so pester'd with a popinjay. Out of my grief and my impatience, Answer'd neglectingly I know not what, He should, or he should not; for he made me mad To see him shine so brisk and smell so sweet And talk so like a waiting-gentlewoman Of guns and drums and wounds,—God save the mark!— And telling me the sovereign'st thing on earth Was parmaceti for an inward bruise; And that it was great pity, so it was, This villanous salt-petre should be digg'd Out of the bowels of the harmless earth, Which many a good tall fellow had destroy'd So cowardly; and but for these vile guns, He would himself have been a soldier. This bald unjointed chat of his, my lord, I answer'd indirectly, as I said; And I beseech you, let not his report Come current for an accusation Betwixt my love and your high majesty.
1.3.9	The circumstance consider'd, good my lord, Whate'er Lord Harry Percy then had said To such a person and in such a place, At such a time, with all the rest retold, May reasonably die and never rise To do him wrong or any way impeach What then he said, so he unsay it now.
1.3.10	Why, yet he doth deny his prisoners, But with proviso and exception, That we at our own charge shall ransom straight His brother-in-law, the foolish Mortimer; Who, on my soul, hath wilfully betray'd The lives of those that he did lead to fight Against that great magician, damn'd Glendower, Whose daughter, as we hear, the Earl of March Hath lately married. Shall our coffers, then, Be emptied to redeem a traitor home? Shall we buy treason? and indent with fears, When they have lost and forfeited themselves? No, on the barren mountains let him starve; For I shall never hold that man my friend Whose tongue shall ask me for one penny cost To ransom home revolted Mortimer.
1.3.11	Revolted Mortimer! He never did fall off, my sovereign liege, But by the chance of war: to prove that true Needs no more but one tongue for all those wounds, Those mouthed wounds, which valiantly he took, When on the gentle Severn's sedgy bank, In single opposition, hand to hand, He did confound the best part of an hour In changing hardiment with great Glendower: Three times they breathed and three times did they drink, Upon agreement, of swift Severn's flood; Who then, affrighted with their bloody looks, Ran fearfully among the trembling reeds, And hid his crisp head in the hollow bank Bloodstained with these valiant combatants. Never did base and rotten policy Colour her working with such deadly wounds; Nor never could the noble Mortimer Receive so many, and all willingly: Then let not him be slander'd with revolt.
1.3.12	Thou dost belie him, Percy, thou dost belie him; He never did encounter with Glendower: I tell thee, He durst as well have met the devil alone As Owen Glendower for an enemy. Art thou not ashamed? But, sirrah, henceforth Let me not hear you speak of Mortimer: Send me your prisoners with the speediest means Or you shall hear in such a kind from me As will displease you. My Lord Northumberland, We license your departure with your son. Send us your prisoners, or you will hear of it. [Ex]eunt King Henry, Blunt, and train.
1.3.13	An if the devil come and roar for them, I will not send them: I will after straight And tell him so; for I will ease my heart, Albeit I make a hazard of my head.
1.3.14	What, drunk with choler? stay and pause awhile: Here comes your uncle. Re-enter WORCESTER.
1.3.15	Speak of Mortimer! 'Zounds, I will speak of him; and let my soul Want mercy, if I do not join with him: Yea, on his part I'll empty all these veins, And shed my dear blood drop by drop in the dust, But I will lift the down-trod Mortimer As high in the air as this unthankful king, As this ingrate and canker'd Bolingbroke.
1.3.16	Brother, the king hath made your nephew mad.
1.3.17	Who struck this heat up after I was gone?
1.3.18	He will, forsooth, have all my prisoners; And when I urged the ransom once again Of my wife's brother, then his cheek look'd pale, And on my face he turn'd an eye of death, Trembling even at the name of Mortimer.
1.3.19	I cannot blame him: was not he proclaim'd By Richard that dead is the next of blood?
1.3.20	He was; I heard the proclamation: And then it was when the unhappy king,— Whose wrongs in us God pardon!—did set forth Upon his Irish expedition; From whence he intercepted did return To be deposed and shortly murdered.
1.3.21	And for whose death we in the world's wide mouth Live scandalized and foully spoken of.
1.3.22	But, soft, I pray you; did King Richard then Proclaim my brother Edmund Mortimer Heir to the crown?
1.3.23	He did; myself did hear it.
1.3.24	Nay, then I cannot blame his cousin king, That wish'd him on the barren mountains starve. But shall it be, that you, that set the crown Upon the head of this forgetful man And for his sake wear the detested blot Of murderous subornation, shall it be, That you a world of curses undergo, Being the agents, or base second means, The cords, the ladder, or the hangman rather? O, pardon me that I descend so low, To show the line and the predicament Wherein you range under this subtle king; Shall it for shame be spoken in these days, Or fill up chronicles in time to come, That men of your nobility and power Did gage them both in an unjust behalf, As both of you—God, pardon it!—have done, To put down Richard, that sweet lovely rose, And plant this thorn, this canker, Bolingbroke? And shall it in more shame be further spoken, That you are fool'd, discarded and shook off By him for whom these shames ye underwent? No; yet time serves wherein you may redeem Your banish'd honours and restore yourselves Into the good thoughts of the world again, Revenge the jeering and disdain'd contempt Of this proud king, who studies day and night To answer all the debt he owes to you Even with the bloody payment of your deaths: Therefore, I say,—
1.3.25	Peace, cousin, say no more: And now I will unclasp a secret book, And to your quick-conceiving discontents I'll read you matter deep and dangerous, As full of peril and adventurous spirit As to o'er-walk a current roaring loud On the unsteadfast footing of a spear.
1.3.26	If he fall in, good night! or sink or swim: Send danger from the east unto the west, So honour cross it from the north to south, And let them grapple: O, the blood more stirs To rouse a lion than to start a hare!
1.3.27	Imagination of some great exploit Drives him beyond the bounds of patience.
1.3.28	By heaven, methinks it were an easy leap. To pluck bright honor from the pale-faced moon, Or dive into the bottom of the deep, Where fathom-line could never touch the ground, And pluck up drowned honour by the locks; So he that doth redeem her thence might wear Without corrival all her dignities: But out upon this half-faced fellowship!
1.3.29	He apprehends a world of figures here, But not the form of what he should attend. Good cousin, give me audience for a while.
1.3.30	I cry you mercy.
1.3.31	Those same noble Scots That are your prisoners,—
1.3.32	I'll keep them all; By God, he shall not have a Scot of them; No, if a Scot would save his soul, he shall not: I'll keep them, by this hand.
1.3.33	You start away And lend no ear unto my purposes. Those prisoners you shall keep.
1.3.34	Nay, I will; that's flat: He said he would not ransom Mortimer; Forbad my tongue to speak of Mortimer; But I will find him when he lies asleep, And in his ear I'll holla 'Mortimer!' Nay, I'll have a starling shall be taught to speak Nothing but 'Mortimer,' and give it him, To keep his anger still in motion.
1.3.35	Hear you, cousin; a word.
1.3.36	All studies here I solemnly defy, Save how to gall and pinch this Bolingbroke: And that same sword-and-buckler Prince of Wales, But that I think his father loves him not And would be glad he met with some mischance, I would have him poison'd with a pot of ale.
1.3.37	Farewell, kinsman: I'll talk to you When you are better temper'd to attend.
1.3.38	Why, what a wasp-stung and impatient fool Art thou to break into this woman's mood, Tying thine ear to no tongue but thine own!
1.3.39	Why, look you, I am whipp'd and scourged with rods, Nettled and stung with pismires, when I hear Of this vile politician, Bolingbroke. In Richard's time,—what do you call the place?— A plague upon it, it is in Gloucestershire; 'Twas where the madcap duke his uncle kept, His uncle York; where I first bow'd my knee Unto this king of smiles, this Bolingbroke,— 'Sblood!— When you and he came back from Ravenspurgh.
1.3.40	At Berkley castle.
1.3.41	You say true: Why, what a candy deal of courtesy This fawning greyhound then did proffer me! Look, 'when his infant fortune came to age,' And 'gentle Harry Percy,' and 'kind cousin;' O, the devil take such cozeners! God forgive me! Good uncle, tell your tale; I have done.
1.3.42	Nay, if you have not, to it again; We will stay your leisure.
1.3.43	I have done, i' faith.
1.3.44	Then once more to your Scottish prisoners. Deliver them up without their ransom straight, And make the Douglas' son your only mean For powers in Scotland; which, for divers reasons Which I shall send you written, be assured, Will easily be granted. You, my lord, [To Northumberland. Your son in Scotland being thus employ'd, Shall secretly into the bosom creep Of that same noble prelate, well beloved, The archbishop.
1.3.45	Of York, is it not?
1.3.46	True; who bears hard His brother's death at Bristol, the Lord Scroop. I speak not this in estimation, As what I think might be, but what I know Is ruminated, plotted and set down, And only stays but to behold the face Of that occasion that shall bring it on.
1.3.47	I smell it: upon my life, it will do well.
1.3.48	Before the game is afoot, thou still let'st slip.
1.3.49	Why, it cannot chose but be a noble plot: And then the power of Scotland and York, To join with Mortimer, ha?
1.3.50	And so they shall.
1.3.51	In faith, it is exceedingly well aim'd.
1.3.52	And 'tis no little reason bids us speed, To save our heads by raising of a head; For, bear ourselves as even as we can, The king will always think him in our debt, And think we think ourselves unsatisfied, Till he hath found a time to pay us home: And see already how he doth begin To make us strangers to his looks of love.
1.3.53	He does, he does: we'll be revenged on him.
1.3.54	Cousin, farewell: no further go in this Than I by letters shall direct your course. When time is ripe, which will be suddenly, I'll steal to Glendower and Lord Mortimer; Where you and Douglas and our powers at once, As I will fashion it, shall happily meet, To bear our fortunes in our own strong arms, Which now we hold at much uncertainty.
1.3.55	Farewell, good brother: we shall thrive, I trust.
1.3.56	Uncle, adieu: O, let the hours be short Till fields and blows and groans applaud our sport! [Exeunt.
2.0.0	ACT II
2.1.1	Rochester. An inn yard.
2.1.2	Enter a Carrier with a lantern in his hand.
2.1.3	Heigh-ho! an it be not four by the day, I'll be hanged: Charles' wain is over the new chimney, and yet our horse not packed. What, ostler!
2.1.4	[Within]
2.1.5	Anon, anon.
2.1.6	I prithee Tom, beat Cut's saddle, put a few flocks in the point; poor jade, is wrung in the withers out of all cess. Enter another Carrier.
2.1.7	Peas and beans are as dank here as a dog, and that is the next way to give poor jades the bots: this house is turned upside down since Robin Ostler died.
2.1.8	Poor fellow, never joyed since the price of oats rose; it was the death of him.
2.1.9	I think this is the most villanous house in all London road for fleas: I am stung like a tench.
2.1.10	Like a tench! by the mass, there is ne'er a king christen could be better bit than I have been since the first cock.
2.1.11	Why, they will allow us ne'er a jordan, and then we leak in your chimney; and your chamber-lie breeds fleas like a loach.
2.1.12	What, ostler I come away and be hanged! come away.
2.1.13	I have a gammon of bacon and two razes of ginger, to be delivered as far as Charing-cross.
2.1.14	God's body! the turkeys in my pannier are quite starved. What, ostler! A plague on thee! hast thou never an eye in thy head? canst not hear? An 'twere not as good deed as drink, to break the pate on thee, I am a very villain. Come, and be hanged! hast no faith in thee? Enter GADSHILL.
2.1.15	Good morrow, carriers. What's o'clock ?
2.1.16	I think it be two o'clock.
2.1.17	I prithee, lend me thy lantern, to see my gelding in the stable.
2.1.18	Nay, by God, soft; I know a trick worth two of that, i' faith.
2.1.19	I pray thee, lend me thine.
2.1.20	Ay, when? canst tell? Lend me thy lantern, quoth he? marry, I'll see thee hanged first.
2.1.21	Sirrah carrier, what time do you mean to come to London?
2.1.22	Time enough to go to bed with a candle, I warrant thee. Come, neighbour Mugs, we'll call up the gentlemen: they will along with company, for they have great charge. [Ex]eunt Carriers.
2.1.23	What, ho! chamberlain!
2.1.24	[Within]
2.1.25	At hand, quoth pickpurse.
2.1.26	That's even as fair as—at hand, quoth the chamberlain; for thou variest no more from picking of purses than giving direction doth from labouring; thou layest the plot how. Enter Chamberlain.
2.1.27	Good morrow, Master Gadshill. It holds current that I told you yesternight: there's a franklin in the wild of Kent hath brought three hundred marks with him in gold: I heard him tell it to one of his company last night at supper; a kind of auditor; one that hath abundance of charge too, God knows what. They are up already, and call for eggs and butter: they will away presently.
2.1.28	Sirrah, if they meet not with Saint Nicholas' clerks, I'll give thee this neck.
2.1.29	No, I'll none of it: I pray thee, keep that for the hangman; for I know thou worshippest Saint Nicholas as truly as a man of falsehood may.
2.1.30	What talkest thou to me of the hangman? if I hang, I'll make a fat pair of gallows; for if I hang, old Sir John hangs with me, and thou knowest he is no starveling. Tut! there are other Trojans that thou dreamest not of, the which for sport sake are content to do the profession some grace; that would, if matters should be looked into, for their own credit sake, make all whole. I am joined with no foot land-rakers, no long-staff sixpenny strikers, none of these mad mustachio purple-hued malt-worms; but with nobility and tranquillity, burgomasters and great oneyers, such as can hold in, such as will strike sooner than speak, and speak sooner than drink, and drink sooner than pray: and yet, 'zounds, I lie; for they pray continually to their saint, the commonwealth; or rather, not pray to her, but prey on her, for they ride up and down on her and make her their boots.
2.1.31	What, the commonwealth their boots? will she hold out water in foul way?
2.1.32	She will, she will; justice hath liquored her. We steal as in a castle, cocksure; we have the receipt of fern-seed, we walk invisible.
2.1.33	Nay, by my faith, I think you are more beholding to the night than to fern-seed for your walking invisible.
2.1.34	Give me thy hand: thou shalt have a share in our purchase, as I am a true man.
2.1.35	Nay rather let me have it, as you are a false thief.
2.1.36	Go to; ‘homo’ is a common name to all men. Bid the ostler bring my gelding out of the stable. Farewell, you muddy knave. [Exeunt.
2.2.1	The highway, near Gadshill.
2.2.2	Enter PRINCE HENRY and POINS.
2.2.3	Come, shelter, shelter: I have removed Falstaff's horse, and he frets like a gummed velvet.
2.2.4	Stand close. Enter Falstaff.
2.2.5	Poins! Poins, and be hanged! Poins!
2.2.6	Peace, ye fat-kidneyed rascal! what a brawling dost thou keep!
2.2.7	Where's Poins, Hal?
2.2.8	He is walked up to the top of the hill: I'll go seek him.
2.2.9	I am accursed to rob in that thief's company: the rascal hath removed my horse, and tied him I know not where. If I travel but four foot by the squier further afoot, I shall break my wind. Well, I doubt not but to die a fair death for all this, if I 'scape hanging for killing that rogue. I have forsworn his company hourly any time this two and twenty years, and yet I am bewitched with the rogue's company. If the rascal have not given me medicines. Poins! Hal! a plague upon you both! Bardolph! Peto! I'll starve ere I'll rob a foot further. An 'twere not as good a deed as drink, to turn true man and to leave these rogues, I am the veriest varlet that ever chewed with a tooth. Eight yards of uneven ground is threescore and ten miles afoot with me; and the stony-hearted villains know it well enough: a plague upon it when thieves cannot be true one to another! [They whistle] Whew! A plague upon you all! Give me my horse, you rogues; give me my horse, and be hanged!
2.2.10	Peace, ye fat-guts! lie down; lay thine ear close to the ground and list if thou canst hear the tread of travellers.
2.2.11	Have you any levers to lift me up again, being down? 'Sblood, I'll not bear mine own flesh so far afoot again for all the coin in thy father's exchequer. What a plague mean ye to colt me thus?
2.2.12	Thou liest; thou art no colted, thou art uncolted.
2.2.13	I prithee, good Prince Hal, help me to my horse, good king's son.
2.2.14	Out, ye rogue! shall I be your ostler?
2.2.15	Go hang theyself in thine own heirapparent garters! If I be ta'en, I'll peach for this. An I have not ballads made on you all and sung to filthy tunes, let a cup of sack be my poison: when a jest is so forward, and afoot too! I hate it. Enter GADSHILL, BARDOLPH and PETO with him.
2.2.16	Stand.
2.2.17	So I do, against my will.
2.2.18	O, 'tis our setter: I know his voice. Bardolph, what news?
2.2.19	Case ye, case ye; on with your vizards: there's money of the king's coming down the hill; 'tis going to the king's exchequer.
2.2.20	You lie, ye rogue; 'tis going to the king's tavern.
2.2.21	There's enough to make us all.
2.2.22	To be hanged.
2.2.23	Sirs, you four shall front them in the narrow lane; Ned Poins and I will walk lower: if they 'scape from your encounter, then they light on us.
2.2.24	How many be there of them?
2.2.25	Some eight or ten.
2.2.26	'Zounds, will they not rob us?
2.2.27	What, a coward, Sir John Paunch?
2.2.28	Indeed, I am not John of Gaunt, your grandfather; but yet no coward, Hal.
2.2.29	Well, we leave that to the proof.
2.2.30	Sirrah Jack, thy horse stands behind the hedge: when thou needest him, there thou shalt find him. Farewell, and stand fast.
2.2.31	Now cannot I strike him, if I should be hanged.
2.2.32	Ned, where are our disguises?
2.2.33	Here, hard by: stand close. [Ex]eunt Prince and Poins.
2.2.34	Now, my masters, happy man be his dole, say I: every man to his business. Enter the Travellers.
2.2.35	Come, neighbour: that boy shall lead our horses down the hill; we'll walk afoot awhile, and ease our legs.
2.2.36	Stand!
2.2.37	Jesus bless us!
2.2.38	Strike; down with them; cut the villains' throats: ah! whoreson caterpillars! bacon-fed knaves! they hate us youth: down with them; fleece them.
2.2.39	O, we are undone, both we and ours forever!
2.2.40	Hang ye, gorbellied knaves, are ye undone? No, ye fat chuffs; I would your store were here! On, bacons, on! What, ye knaves! young men must live. You are grand-jurors, are ye? we'll jure ye, 'faith. [Here they rob them and bind them. Exeunt. Re-enter PRINCE HENRY and POINS.
